parcel_id,ACRES,PARCEL_ID,building_cost,building_purchase_price,building_purchase_price_sqft,building_revenue,building_sqft,cat_id,cat_id_y,county,deed_restricted_units,exp2020_id,exp_id,exsfd_id,fees,geom_id,gg_id,hra_id,inclusionary_units,juris,juris_id,juris_name,juris_name_full,juris_ppa,juris_sesit,juris_tra,juris_trich,juris_y,jurisdiction_id,land_cost,max_dua,max_far,max_height,max_profit,max_profit_far,min_max_fars,nodev,non_residential_sqft,oldest_building,opp_id,parking_config,parking_ratio,pba50chcat,pba50zoningmodcat,pda_id_pba40,pda_id_pba50,pda_pba40,pda_pba50,perfarea,perffoot,policy_based_revenue_reduction,ppa_id,ppa_id_y,residential,residential_sales_price_sqft,residential_sqft,sesit_id,sesit_id_y,stories,superdistrict,total_cost,total_residential_units,total_sqft,tpp_id,tra_id,tra_id_y,trich_id,trich_id_y,urbanized,vmt_nonres_cat,vmt_res_cat,zoninghzcat,zoningmodcat,ave_sqft_per_unit,residential_units,subsidy_per_unit,regional,subaccount
1914175,1.3086330447799999,1914175.0,18717453.923384376,1701591.5822330979,613.3187652224257,21065721.839535456,85506.87036721963,,,Sonoma,3,in,,,0.0,11776334794221,GG,,3,Santa Rosa,sros,Santa Rosa,santa_rosa,,,,srosConn,santa_rosa,70098.0,2575641.051427384,35.0,,,-1421339.504662482,1.5,1.836547291092746,0.0,0.0,1984.0,,surface,0.0,GGNANANA,santa_rosaGGNANANAinNA,sro3,,sro3,,1.0,1.0,1193966.3693861794,,,351.947021484375,351.947021484375,59854.809257053734,,,4.0,30,21293094.97481176,0.0,4080.0,b3,,,Conn,Conn,1.0,MH,M,srosNAConnNA,70098SRO3b3NANA,1600.0,37.0,38414.58120709411,1,1
2040537,0.133116729689,2040537.0,1903976.2631122808,432649.88279296877,519.8119506835938,2260643.2512189443,8697.927195579172,,,Sonoma,0,in,,,0.0,7559744665538,GG,,0,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,508004.6578336003,35.0,,,-154364.42312147535,1.5,1.514003673094582,0.0,0.0,1943.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro2,santa rosa2,sro2,santa rosa2,1.0,1.0,0.0,,,371.29425048828125,371.29425048828125,6088.54903690542,dr,dr,4.0,30,2411980.920945881,2.0,1224.0,b1,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO2b1NANA,1319.0,4.0,38591.10578036884,1,1
2039203,0.2364295068,2039203.0,3381664.8733652136,641202.8958062074,442.90532410010735,3927968.5196335027,15448.44620084611,,,Sonoma,1,in,,,0.0,9463657002428,GG,,1,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,755239.5469966878,54.45,,,-386292.9145049114,1.5,1.7857142857142856,0.0,0.0,1950.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro2,santa rosa2,sro2,santa rosa2,1.0,1.0,177357.01377651247,,,363.2328796386719,363.2328796386719,10813.912340592276,dr,dr,4.0,30,4136904.4203619016,0.0,2129.0,b1,tra3,tra3,R,R,1.0,MH,M,srosNARNA,70098SRO2b1NANA,1000.0,10.0,38629.29145049114,1,1
1987487,0.17107898706500002,1987487.0,2446952.62008055,623651.2650976563,533.2175659179687,2980260.666961962,11178.403929102558,,,Sonoma,0,inun,ubz,,0.0,602474410460,GG,,0,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,,usontra3,usonR,unincorporated_sonoma,97.0,722993.2873297217,35.0,,,-193478.94525727624,1.5,1.6069788797061524,0.0,0.0,1929.0,,surface,0.0,GGtra3NANA,unincorporated_sonomaGGtra3NANAinunNA,sro1,,sro1,,1.0,1.0,0.0,,,380.86968994140625,380.86968994140625,7824.88275037179,,,4.0,30,3169945.907410272,2.0,1720.0,b2,tra3,tra3,R,R,1.0,MH,S,usonNARNA,00097SRO1b2ubzNA,1400.0,5.0,38695.78905145525,1,1
1996899,0.971415126256,1996899.0,21760608.300800275,1753633.8756128326,468.88606299808356,25892846.825662743,116366.88930909237,,,Sonoma,8,inun,ubz,,0.0,8561394807248,GG,,8,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,,,,unincorporated_sonoma,97.0,5985157.123216191,87.12,,,-3136381.0770824584,2.75,2.857142857142857,0.0,0.0,1986.0,,deck,0.2,GGNANANA,unincorporated_sonomaGGNANANAinunNA,,,,,0.0,1.0,1221964.8105506457,,,397.3400573730469,397.3400573730469,81456.82251636466,,,4.0,30,27745765.42401647,0.0,5500.0,,,,,,0.0,MH,S,usonNANANA,00097NANAubzNA,1000.0,81.0,38720.75403805504,1,1
1872854,0.0945536031477,1872854.0,608242.7375041515,0.0,903.8079584341059,651848.1065384757,3089.0946546681134,,,Sonoma,0,in,,,0.0,2586639287972,GG,,0,Sebastopol,seba,Sebastopol,sebastopol,,sebahra,,,sebastopol,70770.0,82375.85745781637,35.0,,,-38770.48842349218,0.75,1.8999084058080808,0.0,0.0,1967.0,,surface,0.0,GGNAHRANA,sebastopolGGNAHRANAinNA,seb1,sebastopol1,seb1,sebastopol1,1.0,1.0,0.0,,,301.4512939453125,301.4512939453125,2162.3662582676793,hra,hra,2.0,30,690618.5949619679,0.0,0.0,,,,,,1.0,MH,M,sebaNANANA,70770SEB1NANANA,1655.20020314,1.0,38770.48842349218,1,1
1889070,0.28210400713100003,1889070.0,4034949.886172466,1047549.3489381452,684.672777083755,5040898.242276769,18432.845528426067,,,Sonoma,1,in,,,0.0,13173093294775,GG,,1,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,1257890.474563201,52.19693120389988,,,-465877.80836156383,1.5,1.711823796533513,0.0,0.0,1969.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro4,santa rosa3,sro4,santa rosa3,1.0,1.0,204800.8309151844,,,390.67669677734375,390.67669677734375,12902.991869898246,dr,dr,4.0,30,5292840.360735667,0.0,2250.0,b2,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO4b2NANA,1000.0,12.0,38823.15069679698,1,1
1889059,0.712669622643,1889059.0,10193354.720504265,2559932.1411479805,389.50916605519916,12423227.946558371,46566.261857031815,,,Sonoma,3,in,,,0.0,4730950787210,GG,,3,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,2862231.904851989,52.19693120389988,,,-1242461.7593541867,1.5,1.7118237965335132,0.0,0.0,1966.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro4,santa rosa3,sro4,santa rosa3,1.0,1.0,585741.0852748499,,,381.1228942871094,381.1228942871094,32596.38329992227,dr,dr,4.0,30,13055586.625356253,0.0,9665.0,b2,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO4b2NANA,1000.0,32.0,38826.929979818335,1,1
2018992,0.419888288463,2018992.0,6005686.409665883,922985.2838007812,515.7033813476562,7074355.387798904,27435.75335617123,,,Sonoma,1,in,,,0.0,13696743668454,GG,,1,Santa Rosa,sros,Santa Rosa,santa_rosa,,srosdr,srostra3,srosR,santa_rosa,70098.0,1158797.1300607447,35.0,,,-465927.4556882417,1.5,1.721763085399449,0.0,0.0,1950.0,,surface,0.0,GGtra3DRNA,santa_rosaGGtra3DRNAinNA,sro4,santa rosa3,sro4,santa rosa3,1.0,1.0,366663.4712960437,,,368.35955810546875,368.35955810546875,19205.02734931986,dr,dr,4.0,30,7164483.539726627,5.0,2632.0,cr4,tra3,tra3,R,R,1.0,MH,S,srosNARNA,70098SRO4cr4NANA,1500.0,12.0,38827.28797402014,1,1
1934907,0.669531582846,1934907.0,4306950.864258468,329523.7342385442,608.7860889715936,4916423.718168283,21873.79819328831,,,Sonoma,1,inun,ubz,,0.0,1203889904566,GG,,1,Sonoma County,uson,Sonoma County,unincorporated_sonoma,,,,,unincorporated_sonoma,97.0,773405.8693400742,43.56,,,-427783.09135846526,0.75,1.9085714285714288,0.0,0.0,1960.0,,surface,0.0,GGNANANA,unincorporated_sonomaGGNANANAinunNA,,,,,0.0,1.0,263850.07592820574,,,321.0902099609375,321.0902099609375,15311.658735301815,,,2.0,29,5080356.733598542,0.0,796.0,,,,,,1.0,MH,M,usonNANANA,00097NANAubzNA,1336.0,11.0,38889.37194167866,1,1
