"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.717379,9.836589,9.819443,9.28235,9.282359,11.388013,10.445032,10.43676,9.889968,9.889912,11.658677,10.73251,10.720757,10.237869,10.213087,11.936917,10.953082,10.945166,10.469407,10.452789,45,16,0
11.576398,10.05655,10.048698,9.33833,9.305474,12.293983,10.719932,10.715993,9.967602,9.951163,12.620639,11.028872,11.023316,10.314571,10.293454,12.836368,11.241806,11.237717,10.543407,10.528841,46,16,1
11.393887,9.967062,9.956804,9.310235,9.310237,12.10566,10.611681,10.6065,9.929167,9.929216,12.429633,10.913185,10.905866,10.276502,10.276429,12.647111,11.127735,11.12245,10.506463,10.506474,47,16,2
10.311723,9.473307,9.44829,8.978751,8.978753,11.022785,10.109215,10.097434,9.609785,9.582442,11.380999,10.485744,10.470683,10.046605,10.015545,11.675155,10.709653,10.699244,10.282491,10.261676,48,17,0
11.359606,9.770294,9.760556,9.052538,9.00838,12.094316,10.464998,10.460235,9.709255,9.687366,12.478937,10.845016,10.838456,10.13745,10.137444,12.687341,11.054678,11.049847,10.368344,10.350554,49,17,1
11.163608,9.656063,9.642572,9.016236,9.016229,11.895624,10.333406,10.326699,9.661277,9.661148,12.278726,10.711694,10.702484,10.093225,10.093199,12.48962,10.924417,10.917501,10.326339,10.326392,50,17,2
10.256776,9.424975,9.398875,8.945775,8.888308,10.996861,10.085532,10.07318,9.595141,9.567112,11.355949,10.468143,10.452529,10.035377,10.003714,11.6373,10.67878,10.667814,10.260318,10.238859,51,18,0
11.298743,9.71422,9.703644,9.014483,8.968143,12.039219,10.421699,10.416646,9.685145,9.685162,12.435238,10.808776,10.801958,10.118134,10.118103,12.632663,11.0075,11.002337,10.33861,10.3386,52,18,1
11.103164,9.601756,9.587189,8.98044,8.980453,11.843162,10.295094,10.287939,9.641129,9.615934,12.235895,10.679428,10.669804,10.077305,10.048139,12.436563,10.880672,10.873832,10.299859,10.279876,53,18,2
10.073144,9.265771,9.234095,8.833225,8.767464,10.825705,9.932708,9.918041,9.484195,9.451902,11.252155,10.377706,10.360186,9.976652,9.941934,11.533152,10.586022,10.573565,10.199542,10.176004,54,19,0
