"lowInc_0_autos_noAV","lowInc_autos_lt_workers_noAV","lowInc_autos_lt_workers_AV","lowInc_autos_ge_workers_noAV","lowInc_autos_ge_workers_AV","medInc_0_autos_noAV","medInc_autos_lt_workers_noAV","medInc_autos_lt_workers_AV","medInc_autos_ge_workers_noAV","medInc_autos_ge_workers_AV","highInc_0_autos_noAV","highInc_autos_lt_workers_noAV","highInc_autos_lt_workers_AV","highInc_autos_ge_workers_noAV","highInc_autos_ge_workers_AV","veryHighInc_0_autos_noAV","veryHighInc_autos_lt_workers_noAV","veryHighInc_autos_lt_workers_AV","veryHighInc_autos_ge_workers_noAV","veryHighInc_autos_ge_workers_AV","destChoiceAlt","taz","subzone"
10.557931,11.3114,11.276602,10.984254,10.937608,10.943854,11.431962,11.416216,11.052958,11.031465,11.139397,11.496844,11.486792,11.079957,11.065948,11.307968,11.556446,11.559439,11.103401,11.094734,36,13,0
10.553843,11.311542,11.27643,10.984226,10.937433,10.953072,11.432831,11.41126,11.053468,11.031854,11.136806,11.496607,11.487578,11.080271,11.066945,11.307854,11.555799,11.555821,11.10331,11.09608,37,13,1
10.559218,11.310837,11.276191,10.984191,10.93754,10.947351,11.430011,11.416116,11.053479,11.031452,11.140928,11.494576,11.48665,11.080464,11.065903,11.315019,11.555373,11.558227,11.10247,11.096391,38,13,2
10.451687,11.216633,11.175812,10.89669,10.842991,10.855727,11.349579,11.332196,10.974579,10.94914,11.06981,11.423518,11.413515,11.003503,10.98833,11.256057,11.489813,11.484965,11.029264,11.021267,39,14,0
10.447359,11.216275,11.176087,10.896593,10.842935,10.862593,11.34841,11.332862,10.974378,10.949238,11.059383,11.423476,11.411239,11.003731,10.987738,11.267636,11.492398,11.484169,11.029091,11.023029,40,14,1
10.45096,11.216315,11.175634,10.896525,10.842958,10.860058,11.345819,11.329961,10.974525,10.949176,11.072601,11.424457,11.40946,11.004088,10.989709,11.269141,11.489965,11.478404,11.031074,11.021317,41,14,2
10.319687,11.105118,11.058784,10.794656,10.733327,10.750278,11.25062,11.234603,10.881618,10.852622,10.983212,11.333838,11.32293,10.914611,10.895343,11.174299,11.40677,11.400937,10.940825,10.932545,42,15,0
10.318621,11.104936,11.057855,10.794591,10.733372,10.755091,11.253757,11.233804,10.881394,10.852926,11.009082,11.332228,11.322484,10.913088,10.89815,11.201241,11.409529,11.397929,10.942801,10.934037,43,15,1
10.318426,11.105257,11.058591,10.794564,10.733349,10.779862,11.253913,11.230802,10.881436,10.853394,11.005278,11.329466,11.320588,10.91416,10.898175,11.192352,11.411476,11.401592,10.943246,10.934396,44,15,2
10.38806,11.165672,11.12176,10.852175,10.795335,10.80062,11.304389,11.282674,10.934628,10.908096,11.039893,11.378509,11.365314,10.966143,10.949138,11.226024,11.453309,11.450292,10.991778,10.982065,45,16,0
10.388062,11.165597,11.121601,10.852222,10.795257,10.825798,11.304481,11.285566,10.934191,10.907377,11.04644,11.380302,11.371957,10.964449,10.94948,11.23092,11.453953,11.451113,10.991438,10.981707,46,16,1
10.387431,11.165337,11.122632,10.852164,10.795354,10.820807,11.305641,11.281354,10.934278,10.90792,11.041722,11.38108,11.368444,10.965846,10.948956,11.240704,11.454684,11.445262,10.991057,10.982552,47,16,2
10.333702,11.116731,11.069802,10.807622,10.746587,10.797935,11.26144,11.240892,10.895007,10.867054,11.022572,11.334657,11.332797,10.928285,10.910814,11.185039,11.41706,11.404394,10.955985,10.946031,48,17,0
10.333549,11.117023,11.069632,10.807713,10.746703,10.781801,11.263265,11.241565,10.895226,10.866687,11.005194,11.344993,11.330226,10.927595,10.909679,11.214588,11.416712,11.408292,10.956238,10.94705,49,17,1
10.332555,11.116763,11.069908,10.807878,10.746505,10.78585,11.263153,11.243,10.895237,10.86627,11.013321,11.337699,11.332074,10.927649,10.910113,11.178702,11.418593,11.405954,10.955292,10.947968,50,17,2
10.476347,11.234673,11.194868,10.91643,10.863273,10.88771,11.368103,11.352462,10.993854,10.968915,11.100822,11.439101,11.430958,11.022036,11.007303,11.280762,11.502928,11.497189,11.048183,11.039124,51,18,0
10.47645,11.235612,11.194858,10.916181,10.863238,10.893915,11.369208,11.343221,10.993697,10.968853,11.093757,11.444446,11.428341,11.023423,11.007113,11.287835,11.504878,11.499384,11.047353,11.040181,52,18,1
10.476136,11.234909,11.194828,10.91636,10.863283,10.900511,11.365899,11.350954,10.994022,10.968747,11.09834,11.439776,11.431799,11.022939,11.008654,11.279303,11.506617,11.499753,11.04756,11.040767,53,18,2
10.348969,11.140628,11.093347,10.83646,10.774829,10.827586,11.289431,11.273257,10.923565,10.894684,11.029415,11.373644,11.360943,10.956463,10.937134,11.24205,11.446995,11.439504,10.983829,10.974738,54,19,0
10.352532,11.140641,11.09339,10.836347,10.774867,10.818225,11.290137,11.273354,10.922823,10.894991,11.048975,11.374739,11.362653,10.956218,10.938524,11.253987,11.445568,11.439506,10.983433,10.974133,55,19,1
10.352571,11.140765,11.093401,10.83647,10.774723,10.821407,11.293421,11.268693,10.922528,10.895574,11.06536,11.374112,11.358795,10.956267,10.939389,11.254973,11.443757,11.434488,10.982282,10.975658,56,19,2
10.45387,11.222776,11.180695,10.912405,10.857203,10.882152,11.362131,11.346354,10.991697,10.965502,11.093111,11.439289,11.426934,11.022783,11.006893,11.295137,11.506138,11.50886,11.048929,11.038837,57,20,0
10.441735,11.223236,11.181271,10.91238,10.856912,10.9041,11.365548,11.348881,10.990335,10.966897,11.125326,11.443202,11.428115,11.022234,11.007492,11.293355,11.508549,11.504127,11.048472,11.039085,58,20,1
10.45214,11.222126,11.181042,10.912178,10.85724,10.903957,11.365917,11.3429,10.991662,10.966443,11.127115,11.439227,11.430393,11.022134,11.007374,11.307396,11.513804,11.50489,11.04797,11.039989,59,20,2
10.596769,11.343749,11.310489,11.016687,10.97182,10.987336,11.465523,11.4498,11.084997,11.062759,11.172788,11.52455,11.523147,11.110509,11.097344,11.324368,11.588758,11.581365,11.132939,11.125672,60,21,0
10.599025,11.343334,11.310669,11.016746,10.971981,10.981922,11.464107,11.44878,11.084974,11.063191,11.192824,11.530843,11.523155,11.11033,11.096761,11.330949,11.594152,11.582952,11.131346,11.125673,61,21,1
10.602609,11.344243,11.309863,11.016662,10.971938,10.996909,11.466144,11.450001,11.084659,11.06321,11.172439,11.526921,11.523882,11.109927,11.097618,11.328575,11.59129,11.582768,11.132838,11.125066,62,21,2
10.243904,11.041891,10.992248,10.73665,10.671791,10.688375,11.19086,11.169598,10.826546,10.797392,10.917748,11.269623,11.261812,10.861673,10.843003,11.121995,11.350048,11.344281,10.890371,10.881995,63,22,0
10.241231,11.041799,10.992511,10.736733,10.671878,10.697087,11.192608,11.171611,10.826541,10.796938,10.940904,11.268322,11.261536,10.859564,10.843186,11.125257,11.352162,11.332795,10.890811,10.88168,64,22,1
10.242934,11.042488,10.992621,10.736702,10.671717,10.692351,11.194882,11.167485,10.826181,10.797072,10.94786,11.27475,11.261935,10.860183,10.842664,11.134271,11.34759,11.340129,10.890522,10.880411,65,22,2
9.992795,10.837245,10.775389,10.548768,10.469021,10.504639,11.009068,10.980942,10.655031,10.619294,10.783025,11.099546,11.089478,10.694003,10.673866,10.997472,11.189214,11.179051,10.72891,10.718221,66,23,0
9.990644,10.837335,10.775914,10.548847,10.468989,10.515033,11.010708,10.981795,10.654426,10.619152,10.776896,11.099869,11.085594,10.695796,10.672645,11.002852,11.189884,11.188105,10.728531,10.71556,67,23,1
9.99471,10.83772,10.77612,10.548759,10.46906,10.484551,11.008531,10.983569,10.654593,10.619181,10.795092,11.099787,11.090894,10.694137,10.674193,11.003399,11.192308,11.175741,10.728694,10.716587,68,23,2
10.35061,11.134926,11.091282,10.819489,10.76253,10.779322,11.269604,11.248651,10.899417,10.873671,10.99287,11.340208,11.332342,10.930993,10.914749,11.181732,11.413745,11.412029,10.956842,10.948671,69,24,0
10.354404,11.134372,11.091427,10.819454,10.762653,10.777389,11.270511,11.250133,10.899994,10.872796,10.993464,11.34529,11.335948,10.930691,10.91408,11.183415,11.414514,11.410372,10.956203,10.947797,70,24,1
10.346664,11.134648,11.091695,10.819432,10.762547,10.777077,11.268828,11.253531,10.899632,10.873622,10.996727,11.346948,11.335752,10.930724,10.914174,11.177298,11.416902,11.410278,10.956785,10.948539,71,24,2
10.412779,11.188413,11.146096,10.869317,10.813946,10.809291,11.320446,11.299279,10.946998,10.921843,11.035458,11.392662,11.380276,10.977383,10.962379,11.23658,11.457488,11.456209,11.002305,10.995605,72,25,0
10.412525,11.188403,11.14614,10.869399,10.813968,10.816613,11.318233,11.303605,10.947596,10.921531,11.029651,11.389586,11.382913,10.977543,10.961319,11.189026,11.456233,11.458032,11.001295,10.995488,73,25,1
10.409147,11.188109,11.14653,10.869384,10.814038,10.810601,11.317263,11.300979,10.947042,10.922163,11.039861,11.393306,11.379773,10.977073,10.960274,11.232546,11.463811,11.451934,11.000629,10.995378,74,25,2
10.499419,11.261323,11.222964,10.937307,10.88763,10.890285,11.388006,11.372787,11.009114,10.986553,11.120256,11.454829,11.445654,11.03707,11.023765,11.283088,11.521452,11.50495,11.06145,11.053911,75,26,0
10.501618,11.260521,11.223607,10.937422,10.887589,10.878892,11.386393,11.371481,11.009401,10.986746,11.092178,11.455339,11.440994,11.037182,11.023805,11.278842,11.522051,11.502166,11.061872,11.053496,76,26,1
10.500548,11.260369,11.223608,10.937333,10.887606,10.892997,11.387781,11.366031,11.00915,10.986038,11.117064,11.449829,11.442268,11.037255,11.021732,11.28767,11.518646,11.515956,11.061374,11.054816,77,26,2
10.46097,11.230287,11.191276,10.908651,10.856646,10.846792,11.35744,11.338213,10.983072,10.959166,11.068541,11.422944,11.414749,11.010838,10.997633,11.223961,11.493382,11.485587,11.037513,11.028452,78,27,0
10.458476,11.230116,11.191236,10.90874,10.856555,10.851864,11.356503,11.340532,10.982968,10.958659,11.075187,11.428209,11.416632,11.010783,10.996666,11.252669,11.490484,11.48036,11.036283,11.028305,79,27,1
10.458194,11.23022,11.191148,10.908599,10.856539,10.849283,11.357115,11.339958,10.982686,10.9583,11.073817,11.424526,11.416564,11.010632,10.997478,11.253749,11.49472,11.48416,11.036607,11.027315,80,27,2
10.489103,11.257237,11.219035,10.936876,10.886377,10.868513,11.381241,11.368629,11.009446,10.985827,11.099584,11.445303,11.441134,11.037953,11.023695,11.282223,11.514873,11.518611,11.061337,11.053432,81,28,0
10.490114,11.257849,11.219606,10.936837,10.886383,10.895099,11.384208,11.368268,11.009776,10.985362,11.109784,11.453148,11.44349,11.034854,11.023782,11.283044,11.515765,11.52054,11.060688,11.053953,82,28,1
10.488644,11.257925,11.219539,10.93669,10.886306,10.893393,11.383405,11.367564,11.00896,10.986179,11.091082,11.449811,11.444341,11.037838,11.02311,11.287008,11.51736,11.516477,11.061432,11.053056,83,28,2
10.565406,11.319548,11.284635,10.995445,10.948575,10.938297,11.441774,11.425016,11.064626,11.042766,11.152844,11.504976,11.499936,11.091099,11.078086,11.331675,11.571973,11.566854,11.113558,11.108053,84,29,0
